Model Name,Key Visual Image,Storage,Color en_HK,color zh_HK,showInHKBuyPage,Estore Exclusive,SKU,RRP,LSV Discount,InStockStatus,oosLink hk,oosLink hk_em,Gift1,Gift2,Gift3
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zsptgy-550823970?imbypass=true,512GB+12GB,Silver Shadow,æ˜ŸæœˆéŠ€,TRUE,Y,SM-S9480ZSOTGY,11798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zkptgy-550821367?imbypass=true,256GB+12GB,Black,æ˜Ÿæ›œé»‘,TRUE,N,SM-S9480ZKITGY,10198,0,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480lbptgy-550821255?imbypass=true,256GB+12GB,Sky Blue,æ˜Ÿæ¾„è—,TRUE,N,SM-S9480LBITGY,10198,0,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zvptgy-550821482?imbypass=true,256GB+12GB,Cobalt Violet,æ˜Ÿæš®ç´«,TRUE,N,SM-S9480ZVITGY,10198,0,Y,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-sm-s9480zwotgy-550821557?imbypass=true,256GB+12GB,White,æ˜Ÿéœœç™½,TRUE,N,SM-S9480ZWITGY,10198,0,N,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zdptgy-550823859?imbypass=true,256GB+12GB,Pink Gold,æ˜Ÿç‘°é‡‘,TRUE,Y,SM-S9480ZDITGY,10198,0,N,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy S26 Ultra,https://images.samsung.com/is/image/samsung/p6pim/hk/s2602/gallery/hk-galaxy-s26-ultra-s948-578324-sm-s9480zsptgy-550823970?imbypass=true,256GB+12GB,Silver Shadow,æ˜ŸæœˆéŠ€,TRUE,N,SM-S9480ZSITGY,10198,0,N,https://www.samsung.com/hk/smartphones/galaxy-s26-ultra/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-s26-ultra/buy/,S26U_Gift001,S26U_Gift002,S26U_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660dbgtgy-547656345?imbypass=true,1TB+16GB,Blue Shadow,æ˜Ÿå¡µè—,TRUE,N,SM-F9660DBHTGY,17998,500,N,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660zkgtgy-547656453?imbypass=true,1TB+16GB,Jetblack,æ›œçŸ³é»‘,TRUE,N,SM-F9660ZKHTGY,17998,500,N,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660dbgtgy-547656345?imbypass=true,512GB+12GB,Blue Shadow,æ˜Ÿå¡µè—,TRUE,N,SM-F9660DBGTGY,16798,300,N,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660zsgtgy-547656519?imbypass=true,512GB+12GB,Silver Shadow,éœ§éŠ€ç°,TRUE,N,SM-F9660ZSGTGY,16798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660zkgtgy-547656453?imbypass=true,512GB+12GB,Jetblack,æ›œçŸ³é»‘,TRUE,N,SM-F9660ZKGTGY,16798,300,Y,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-555695-sm-f9660lggtgy-547656571?imbypass=true,512GB+12GB,Mint,è–„è·ç¶ ,TRUE,Y,SM-F9660LGGTGY,16798,300,N,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660dbgtgy-547656345?imbypass=true,256GB+12GB,Blue Shadow,æ˜Ÿå¡µè—,TRUE,N,SM-F9660DBDTGY,14438,0,N,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660zsgtgy-547656519?imbypass=true,256GB+12GB,Silver Shadow,éœ§éŠ€ç°,TRUE,N,SM-F9660ZSDTGY,14438,0,Y,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-sm-f9660zkgtgy-547656453?imbypass=true,256GB+12GB,Jetblack,æ›œçŸ³é»‘,TRUE,N,SM-F9660ZKDTGY,14438,0,N,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Fold7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-z-fold7-f966-555695-sm-f9660lggtgy-547656571?imbypass=true,256GB+12GB,Mint,è–„è·ç¶ ,TRUE,Y,SM-F9660LGDTGY,14438,0,Y,https://www.samsung.com/hk/smartphones/galaxy-z-fold7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-fold7/buy/,Fold7_Gift001,Fold7_Gift002,Fold7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-sm-f7660dbatgy-547656635?imbypass=true,512GB+12GB,Blue Shadow,æ˜Ÿå¡µè—,TRUE,N,SM-F7660DBETGY,8998,500,Y,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-sm-f7660zkatgy-547656683?imbypass=true,512GB+12GB,Jetblack,æ›œçŸ³é»‘,TRUE,N,SM-F7660ZKETGY,8998,500,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-sm-f7660zratgy-547656731?imbypass=true,512GB+12GB,Coralred,çŠç‘šç´…,TRUE,N,SM-F7660ZRETGY,8998,500,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-555701-sm-f7660lgatgy-547656871?imbypass=true,512GB+12GB,Mint,è–„è·ç¶ ,TRUE,Y,SM-F7660LGETGY,8998,500,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-sm-f7660dbatgy-547656635?imbypass=true,256GB+12GB,Blue Shadow,æ˜Ÿå¡µè—,TRUE,N,SM-F7660DBATGY,5998,0,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-sm-f7660zkatgy-547656683?imbypass=true,256GB+12GB,Jetblack,æ›œçŸ³é»‘,TRUE,N,SM-F7660ZKATGY,5998,0,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-sm-f7660zratgy-547656731?imbypass=true,256GB+12GB,Coralred,çŠç‘šç´…,TRUE,N,SM-F7660ZRATGY,5998,0,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
Galaxy Z Flip7,https://images.samsung.com/is/image/samsung/p6pim/hk/f2507/gallery/hk-galaxy-zflip7-f766-555701-sm-f7660lgatgy-547656871?imbypass=true,256GB+12GB,Mint,è–„è·ç¶ ,TRUE,Y,SM-F7660LGATGY,5998,0,N,https://www.samsung.com/hk/smartphones/galaxy-z-flip7/buy/,https://www.samsung.com/hk_en/smartphones/galaxy-z-flip7/buy/,Flip7_Gift001,Flip7_Gift002,Flip7_Gift003
