Brand,Model,Storage,Recommendation 1,Recommendation 2,Standad Price,SM-S9480ZKPTGY_ETI,SM-S9480LBPTGY_ETI,SM-S9480ZVPTGY_ETI,SM-S9480ZDPTGY_ETI,SM-S9480ZSPTGY_ETI,SM-S9480ZKOTGY_ETI,SM-S9480LBOTGY_ETI,SM-S9480ZVOTGY_ETI,SM-S9480ZWOTGY_ETI,SM-S9480ZDOTGY_ETI,SM-S9480ZSOTGY_ETI,SM-S9480ZKITGY_ETI,SM-S9480LBITGY_ETI,SM-S9480ZVITGY_ETI,SM-S9480ZWITGY_ETI,SM-S9480ZDITGY_ETI,SM-S9480ZSITGY_ETI,SM-F9660DBHTGY_ETI,SM-F9660ZKHTGY_ETI,SM-F9660DBGTGY_ETI,SM-F9660ZSGTGY_ETI,SM-F9660ZKGTGY_ETI,SM-F9660LGGTGY_ETI,SM-F9660DBDTGY_ETI,SM-F9660ZSDTGY_ETI,SM-F9660ZKDTGY_ETI,SM-F9660LGDTGY_ETI,SM-F7660DBETGY_ETI,SM-F7660ZKETGY_ETI,SM-F7660ZRETGY_ETI,SM-F7660LGETGY_ETI,SM-F7660DBATGY_ETI,SM-F7660ZKATGY_ETI,SM-F7660ZRATGY_ETI,SM-F7660LGATGY_ETI,SM-S9480ZKPTGY_GTI,SM-S9480LBPTGY_GTI,SM-S9480ZVPTGY_GTI,SM-S9480ZDPTGY_GTI,SM-S9480ZSPTGY_GTI,SM-S9480ZKOTGY_GTI,SM-S9480LBOTGY_GTI,SM-S9480ZVOTGY_GTI,SM-S9480ZWOTGY_GTI,SM-S9480ZDOTGY_GTI,SM-S9480ZSOTGY_GTI,SM-S9480ZKITGY_GTI,SM-S9480LBITGY_GTI,SM-S9480ZVITGY_GTI,SM-S9480ZWITGY_GTI,SM-S9480ZDITGY_GTI,SM-S9480ZSITGY_GTI,SM-F9660DBHTGY_GTI,SM-F9660ZKHTGY_GTI,SM-F9660DBGTGY_GTI,SM-F9660ZSGTGY_GTI,SM-F9660ZKGTGY_GTI,SM-F9660LGGTGY_GTI,SM-F9660DBDTGY_GTI,SM-F9660ZSDTGY_GTI,SM-F9660ZKDTGY_GTI,SM-F9660LGDTGY_GTI,SM-F7660DBETGY_GTI,SM-F7660ZKETGY_GTI,SM-F7660ZRETGY_GTI,SM-F7660LGETGY_GTI,SM-F7660DBATGY_GTI,SM-F7660ZKATGY_GTI,SM-F7660ZRATGY_GTI,SM-F7660LGATGY_GTI
Samsung,Galaxy S23 FE,256GB,Galaxy Z Flip7,N/A,"$1,000 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S23,512GB,Galaxy Z Flip7,N/A,"$1,900 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S24,512GB,Galaxy Z Flip7,N/A,"$2,800 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S23+,512GB,Galaxy Z Flip7,N/A,"$2,100 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S24+,512GB,Galaxy Z Flip7,N/A,"$3,300 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S23 Ultra,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$4,400 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S24 Ultra,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$5,900 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samsung,Galaxy S25 Ultra,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$6,500 ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone XS,256GB,Galaxy S26 Ultra,Galaxy Z Fold7,"$1,500 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone XS,512GB,Galaxy S26 Ultra,Galaxy Z Fold7,"$2,000 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone XS,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$3,000 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone 16 pro,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$6,600 ",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone 15 Pro,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$4,400 ",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone 14 Pro,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$3,000 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone 14 Pro Max,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$3,700 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone 15 Pro Max,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$5,300 ",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apple,iPhone 16 pro Max,1TB,Galaxy S26 Ultra,Galaxy Z Fold7,"$7,300 ",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
